ShipName,ShipType,Nationality
SAN GIL,PAQUEBOTE,Spanish
Maria Magdalena,FRAGATA,Spanish
Maria Magdalena,Fragata correo,Spanish
FENIX,NAVÍO,Spanish
GALLARDO,NAVÍO,Spanish
MAGDALENA,FRAGATA,Spanish
SANTA MARIA MAGDALENA,FRAGATA,Spanish
SANTA MARIA MAGDALENA,PAQUEBOTE,Spanish
DILIGENTE,NAVÍO,Spanish
DILIGENTE,PAQUEBOTE,Spanish
SAN JULIAN,NAVÍO DE LA REA,Spanish
SAN JULIAN,NAVÍO,Spanish
DESCONOCIDO-25,,Spanish
SANTA BALVINA,FRAGATA,Spanish
SANTA BALVINA,PAQUEBOTE,Spanish
SANTA LUCIA,FRAGATA,Spanish
NaSa DEL ROSARIO (LA NUMANCIA),FRAGATA,Spanish
LA LORETO,FRAGATA,Spanish
Na Sa DE ARANZAZU,FRAGATA,Spanish
SAN PEDRO DE ALCANTARA,NAVÍO,Spanish
RL. CARLOS,NAVÍO,Spanish
SANTA CLARA,FRAGATA,Spanish
LA SUERTE (SAN FCO JAVIER),BERGANTÍN,Spanish
LA PERLA,FRAGATA DE GUER,Spanish
LA PERLA,FRAGATA,Spanish
LA MOSCA,GOLETA,Spanish
Na Sa DEL CARMEN (EL GRIEGO),PAQUEBOTE,Spanish
HERCULES,NAVÍO,Spanish
HERCULES,FALUCHO,Spanish
Phoenix,5th Rate,British
Niger,5th Rate,British
Phoenix,,British
Guadaloupe,6th Rate,British
Quebec,5th rate,British
Quebec,5th Rate,British
Stag,5th Rate,British
Stag,5th rate,British
Burford,3rd Rate,British
Trident,3rd rate,British
Antelope,4th Rate,British
Tweed,5th rate,British
Tweed,5th Rate,British
Kennington,6th Rate,British
Portland,4th Rate,British
Lizard,6th Rate,British
Alborough,6th Rate,British
Weazle,Sloop,British
Montreal,5th Rate,British
Alarm,5th rate,British
Alarm,5th Rate,British
Cruizer,Sloop,British
Lynx,Sloop,British
Deal Castle,6th Rate,British
Carysfort,6th Rate,British
Carysfort,6th rate,British
Princess Amelia,3rd Rate,British
Racehorse,special vessel,British
Raven,Sloop,British
Prothee,3rd Rate,British
Somerset,3rd Rate,British
Pallas,5th Rate,British
Senegal,Sloop,British
Winchelsea,5th Rate,British
Surpize,6th Rate,British
Attelante,Brik,Dutch
Auguste,Fregat,Dutch
Wilhelmina,Fregat,Dutch
Wilhelmina,,Dutch
Jan en Cornelis,Koopvaarder,Dutch
Vasco de Gama,,Dutch
Valk,Brik,Dutch
Panter,Brik,Dutch
Koerier,Brik,Dutch
Koerier,,Dutch
Star,Brig-Sloop,British
Star,brig/sloop,British
Standard,,British
Standard,3rd rate,British
Experiment,4th Rate,British
Scarborough,6th Rate,British
Preston,4th Rate,British
Arethusa,5th Rate,British
Hester,merchant brig,British
Thetis,5th Rate,British
Pluto,fireship,British
Eagle,3rd rate,British
Atlanta,Sloop,British
Eagle,3rd Rate,British
Hannibal,Brig,British
Hannibal,6th Rate,British
Aolus,5th Rate,British
Yarmouth,3rd Rate,British
Raisonable,3rd rate,British
Raisonable,3rd rate  ,British
Raisonable,3rd Rate,British
Egmont,3rd Rate,British
Ramilles,3rd Rate,British
Hornet,Sloop,British
Janus,5th Rate,British
Crocodile,6th Rate,British
Jupiter,4th Rate,British
Jupiter,4th rate,British
Morning Star,4th Rate,British
Narcissus,6th Rate,British
Narcissus,7th Rate,British
Narcissus,8th Rate,British
Caton,3rd Rate,British
Mediator,5th Rate,British
Iphigenia,5th Rate,British
Grampus,4th Rate,British
York,,British
Vanguard,3rd rate,British
Triton,6th rate,British
Tromp,4th Rate,British
Tromp,4th rate,British
Unite,5th rate,British
Swan,sloop,British
Ulysses,5th rate,British
Zeemercuur,,Dutch
Nederlands Welvaren,,Dutch
Candia,,Dutch
Vergenoegen,Fregat,Dutch
Rendier,O.I. Schip,Dutch
Dregterlandt,,Dutch
Kenau Hasselaar,,Dutch
Revolutie,,Dutch
Kroonprincesse Maria,,Danish
Friedrich,,Dutch
Pegasus,Brik,Dutch
Zwaluw,Brik,Dutch
Maas,Fregat,Dutch
Dordrecht,Transportschip,Dutch
Unknown-12,,Dutch
Triton,Korvet,Dutch
Venus,Brik,Dutch
Formosa,,Dutch
Batavia,,Dutch
Batavia,Fregat,Dutch
Batavia,Stoomschip,Dutch
Suriname,Stoomschip,Dutch
Mercator,Bark,Dutch
Bromo,Steamer,Dutch
Bromo,Stoomschip,Dutch
Lansier,Schoenerbrik,Dutch
Estafette,Bark,Dutch
Cornelia,Bark,Dutch
Seaford,6th Rate,British
Ferret,Sloop,British
Montague,3rd Rate,British
Minerva,5th Rate,British
Magicienne,5th Rate,British
Minerva,5th rate,British
PODEROSO,FRAGATA,Spanish
PODEROSO,NAVÍO,Spanish
PODEROSO,NAVIO,Spanish
La Gironde,,French
Le Prothée,,French
Le Triton,,French
L'Heureux,,French
La Seine,,French
Le Chariot Royal,,French
Le Rhinoceros,,French
Le Rhinoceros,Fregatte,French
Le Bizarre,,French
Le Parham,,French
Le Aigle,,French
Le Valeur,Fregate,French
PURISIMA CONCEPCIÓN,NAVÍO,Spanish
PURISIMA CONCEPCIÓN,DESCONOCIDO,Spanish
Le Salomon,,French
La Petite Fortune,,French
Le Vicomte de Choiseuil,,French
L'aimable Marie Anne,,French
SANTA TERESA,PAQUEBOTE,Spanish
SANTA MARÍA DE LA CAVEZA,FRAGATA,Spanish
SANTA MARÍA DE LA CAVEZA,PAQUEBOTE,Spanish
La Belette,Corvette,French
SANTA MARÍA DE LA CAVEZA,DESCONOCIDO,Spanish
LA PRINCESA,Paquebot,Spanish
LA PRINCESA,PAQUEBOTE,Spanish
LA PRINCESA,FRAGATA,Spanish
L'Etoile,Flute,French
Le Furet,L'aviso,French
La Desirée,,French
No. 12,Paquebot,French
Freden,,Swedish
Götha Leijon,,Swedish
L'hipocrite,Corvette,French
No. 8,Paquebot,French
La Loire,Gabarre,French
La Lamproie,,French
La Lamproye,,French
Le Barbeau,,French
L'Experiment,,French
La Graciense,Fregate,French
La Capriciense,Fragate,French
La Cassares,Brick,French
Inconnu-2,,French
DESCONOCIDO-26,DESCONOCIDO,Spanish
Polanen,,Dutch
SAN ANTONIO,NAVIO,Spanish
"NaSa DEL ROSARIO,STMA TRINIDAD",NAVIO,Spanish
DESCONOCIDO-27 (RAYO),NAVÍO,Spanish
SAN VICENTE,NAVÍO,Spanish
SANTA GERTRUDIS,FRAGATA,Spanish
SAN RAFAEL,NAVÍO,Spanish
SAN RAFAEL,NAVIO,Spanish
SAN RAFAEL,FRAGATA,Spanish
SEPTENTRIÓN,NAVÍO,Spanish
SAN LORENZO,NAVIO,Spanish
SAN LORENZO,NAVÍO,Spanish
SAN LORENZO,PAQUEBOTE,Spanish
ASTUTO,NAVÍO,Spanish
ASTUTO,NAVIO,Spanish
MARTE,PAQUEBOTE,Spanish
SANTA BÁRBARA,FRAGATA,Spanish
SANTA MARGARITA,FRAGATA,Spanish
SANTA ROSALÍA,FRAGATA,Spanish
SANTA ROSALÍA,FRAGATA DE GUER,Spanish
DESCONOCIDO-29,NAVÍO,Spanish
EL AGUILA,FRAGATA,Spanish
EL AGUILA,PAQUEBOTE,Spanish
EL AGUILA,Fragata Correo,Spanish
EL AGUILA,Fragata correo,Spanish
EL AGUILA,FRAGATA/ CORREO,Spanish
Amsterdam,,Dutch
Amsterdam,Stoomschip,Dutch
Euryalus,5th Rate,British
EL CUERVO,PAQUEBOTE,Spanish
Cumberland,,British
Euridice,Fregat,Dutch
Otter,Sloop,British
Shaftesbury,,British
EL RELÁMPAGO,BERGANTÍN,Spanish
Dublin,3rd Rate,British
Squirrel,6th Rate,British
LA PERLA,FRAGATA DE GUER,Spanish
Star,Brig-Sloop,British
Janus,5th Rate,British
