ShipName,ShipType,Nationality
DESCONOCIDO-01,NAVIO,Spanish
DESCONOCIDO-02,,Spanish
BUEN CONSEJO,NAVIO,Spanish
CORZO,FALUCHO,Spanish
DESCONOCIDO-03,FRAGATA,Spanish
CORTES,PAQUEBOTE,Spanish
CORTES,Fragata correo,Spanish
EL PIZARRO,PAQUEBOTE,Spanish
EL PIZARRO,Fragata Correo,Spanish
SAN JOSE EL PERUANO,NAVIO,Spanish
INFANTE,PAQUEBOTE,Spanish
Tenerife,Paquebot,Spanish
Diligencia,PAQUEBOTE,Spanish
Diligencia,Fragata correo,Spanish
Diligencia,Fragata Correo,Spanish
Diligencia,,Spanish
PRINCIPE,PAQUEBOTE,Spanish
PRINCIPE,Fragata correo,Spanish
Adamant,4th rate,British
Alligator,6th rate,British
Amphion,5th rate,British
Andromache,5th rate,British
Argo,5th rate,British
Atlas,,British
Aurora,,British
Beaver,Sloop,British
Bittern,sloop,British
Blanche,5th Rate,British
Blonde,5th Rate,British
Boyne,2nd rate,British
Bridgewater,,British
Bulldog,Sloop,British
Busbridge,,British
Calypso,Sloop,British
Charon,5th rate,British
Crescent,5th rate,British
Dadalus,5th rate,British
Daphne,6th rate,British
Defence,3rd rate ,British
Diomede,4th rate,British
Grampus,5th rate,British
Guardian,5th rate,British
Dromedary,Storeship,British
Druid,5th Rate,British
Inconnu-1,,French
L'Indiscrette,,French
L'Ambition,,French
L'Aquillon,,French
Amphitrite,,French
La Belle Poule,,French
La Bergere,,French
L'Oiseau,5th rate,British
Sphynx,6th rate  ,British
Le Leopard,,French
La Tourterelle,,French
La Perle,,French
La Favorite,,French
La Favorite,Corvette,French
La Diane,,French
Le Oiseau,,French
La Fleur de Lys,,French
La Pomone,,French
La Coulisse,,French
La Danaé,,French
La Dedaigneuse,,French
La Durance,,French
La Elourdie,,French
La Fortune,,French
La Loir,,French
La Lourde,,French
La Ménagére,,French
La Nourrice,,French
La Pintade,,French
La Poulette,Corvette,French
La Terpsicore,,French
L'Actif,,French
L'actionnaire,,French
Le Amphitrite,,French
Le Danube,,French
Le Desiré,,French
Le Etoile,,French
Le Paquebot,,French
Le Rhóne,Gabarre,French
Le Rossignol,,French
Le Saumon,Gabarre,French
Le Serin,,French
Le Vaillans,,French
Le Zephir,,French
L'isis,,French
No. 3,Paquebot,French
Enterprise,6th rate,British
Essex,,British
Europa,4th rate,British
Imperieuse,5th Rate,British
Expedition,5th rate,British
Experiment,5th rate,British
Favourite,sloop,British
Ferret,Brig,British
Flora,5th rate,British
Fox,5th rate,British
Heroine,5th rate,British
Torrington,,British
Valentine,,British
Triton,6th Rate,British
Garland,,British
Hebe,5th rate,British
Hector,3rd rate,British
Heureux,6th rate,British
Hope,brig/sloop,British
Hornet,sloop,British
Inspector,sloop,British
L'Aimable,5th rate,British
Lapwing,6th rate,British
Laurel,6th rate,British
Leocadia,5th rate,British
Leviathan,3rd rate,British
Lilly,sloop,British
DESCONOCIDO-05,PAQUEBOTE,Spanish
SAN FRANCISCO XAVIER,BERGANTIN,Spanish
DESCONOCIDO-06,PAQUEBOTE,Spanish
SAN FRANCISCO XAVIER,BERGANTÍN,Spanish
EL ACTIVO,PAQUEBOTE,Spanish
SANTA BIBIANA,FRAGATA,Spanish
Majestic,3rd rate,British
VIVIANA,FRAGATA,Spanish
Mentor,,Dutch
Maarsen,Oorlogsschip,Dutch
Neerlands Koning,,Dutch
Sara Johanna,,Dutch
Hecla,Steamer,Dutch
Soerabaya,,Dutch
Palembang,Fregat,Dutch
Rotterdam,,Dutch
Maria,,Dutch
Rotterdam,Fregat,Dutch
Rhoon en Pendrecht,,Dutch
Castor,Korvet,Dutch
Boreas,Korvet,Dutch
Nieuw Lekkerland,,Dutch
Heldin,Korvet,Dutch
Maria Elisabeth,,Dutch
Scipio,Fregat,Dutch
Menado,,Dutch
Ambarawa,,Dutch
Prins Hendrik,,Dutch
Nehalennia,Fregat,Dutch
Frankendaal,,Dutch
Unknown-01,,Dutch
Amicitia,,Dutch
Koning Willem II,,Dutch
Phoenix,Steamer,Dutch
Merapi,Steamer,Dutch
Pollux,Fregat,Dutch
Celebes,Bark,Dutch
Cornelia Sara,,Dutch
Wassenaar,,Dutch
Prins Veldmaarschalk,Bark,Dutch
Princes Royal Frederique,,Dutch
Valk,Fregat,Dutch
Princes Louisa,Oorlogsschip,Dutch
Willem,,Dutch
Zephyr,Oorlogssnauw,Dutch
Admiraal Evertsen,,Dutch
Sara Lydia,Fregat,Dutch
Kemphaan,,Dutch
Albrecht Beijling,,Dutch
Princes Carolina,,Dutch
Pecering,Brik,Dutch
Cadmus,,Dutch
Zephyr,oorlogssnauw,Dutch
Ajax,Korvet v Oorlog,Dutch
's-Gravenhage,,Dutch
Waterloo,Linieschip,Dutch
Komeet,Korvet,Dutch
Watergeus,,Dutch
Akerendam,,Dutch
Princes Carolina,Oorlogsschip,Dutch
Ystroom,,Dutch
Schiedam,Oorlogsschip,Dutch
Rotterdams Welvaren,,Dutch
Ternate,Bark,Dutch
Rotterdams Welvaren,Fregat,Dutch
Ternate,,Dutch
Magdalena,,Dutch
Orangezaal,Fregat,Dutch
India,,Dutch
Unknown-02,,Dutch
Allarm,Fregat,Dutch
Rhijn,,Dutch
Scholtenburg,,Dutch
Princes Maria Louisa,,Dutch
Unknown-03,,Dutch
Van Oldenbarneveld,,Dutch
Sloterdijk,,Dutch
Onverwagt,Whaler,Dutch
Straalen,,Dutch
Alkemade,,Dutch
Amazone,Fregat,Dutch
Hippomenes,Korvet,Dutch
Iris,Corvet,Dutch
Landskroon,,Dutch
Nehalennia,Korvet,Dutch
Sirene,Brik,Dutch
Noordbeveland,,Dutch
Schiedam,,Dutch
Rupel,Fregat,Dutch
Vlietlust,,Dutch
Westerveld,Brik,Dutch
Vlieg,Brik,Dutch
Vrouwe Margaretha Maria,,Dutch
Prins Frederik Hendrik,,Dutch
Johanna,,Dutch
Susanna,,Dutch
Tempel,,Dutch
Thetis,Fregat,Dutch
Thetis,Frigate,Dutch
Utrecht,Fregat,Dutch
Van der Werff,Fregat,Dutch
Stad Utrecht,,Dutch
Flores,,Dutch
Javaan,,Dutch
Postillon,Brik,Dutch
Wesel,Galjoot,Dutch
Jonge Lieve,,Dutch
Vrouwe Cornelia Hillegonda,,Dutch
Vreedenburg,,Dutch
Mars,,Dutch
Haarlemmerhout,,Dutch
Oud Haarlem,,Dutch
Theodora en Sara,,Dutch
Zeeland,Fregat,Dutch
Zwaluw,Snauw,Dutch
Kemphaan,Advijsjagt,Dutch
Admiraal de Ruyter,,Dutch
Zephyr,Snaauw,Dutch
Africa,,Dutch
Pollux,Korvet,Dutch
L' Esperance,,French
Maarseveen,,Dutch
Panther,Cotter,Dutch
Tromp,Fregat,Dutch
Kemphaan,Kotter,Dutch
Stavenisse,,Dutch
Arend,Fregat,Dutch
De Ruijter,Linieschip,Dutch
